Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,,P.leu,2327,TCEX,8.08,-16.43,13.38,45.45,Danielle D,2017,2002.5,14.5,Unburned,F,A,P,36,72,16,61,4,15,No bison,3.396860987
Small mammal,,P.man,2330,HPN,5.66,-23.7,13.36,44.61,Danielle D,2017,2012,5,Burned,F,A,PL,45,58,16,59,4,13,Bison,3.339071856
Small mammal,,P.leu,2332,TC,3.21,-16.45,12.6,46.24,Danielle D,2017,2002.5,14.5,Unburned,M,SA,NA,24.5,61,14,55.5,4,15,No bison,3.66984127
Small mammal,,P.man,2333,TC,6.41,-12.62,13.69,44.28,Danielle D,2017,2002.5,14.5,Unburned,M,SA,NA,31,50,15,59,4,15,No bison,3.234477721
Small mammal,,M.och,2339,L,5.67,-26.42,13.03,44.41,Danielle D,2018,2011,7,Unburned,F,A,NA,49,51,21,80,4,13,Bison,3.408288565
Small mammal,,P.man,2345,SB,3.82,-22.18,12.83,43.17,Danielle D,2017,2009,8,Unburned,M,A,NA,32.5,58,17,61,4,17,No bison,3.36477007
Small mammal,Mouse,P.man,2347,HF,6.31,-25.17,13.4,46.26,Kirstie,2017,2013,4,Burned,F,A,PL,37,48.5,15,52,4,13,Bison,3.452238806
Small mammal,,P.man,2351,CCW,4.4,-19.8,13.4,45.39,Angelica B,2019,2008,11,Unburned,M,A,NA,29,53,15,48,6,21,No bison,3.387313433
Small mammal,,P.leu,2352,MU,4.12,-24.38,13.57,45.11,Sarah N,2019,1986.5,32.5,Unburned,M,A,NA,37,75,18,63,8,14,Bison,3.324244657
Small mammal,,P.man,2354,CCWE,5.36,-23.44,13.73,45.78,Angelica B,2019,2008,11,Unburned,F,A,PL,27,54,14.5,50,6,20,No bison,3.334304443
Small mammal,,P.man,2357,TCR,6.29,-18.07,13.64,44.31,Sarah N,2019,C,50,Unburned,F,A,PL,43,60,17,62,8,15,No bison,3.248533724
Small mammal,,P.man,2359,SBEX1,6.24,-20.38,13.69,45.32,Angelica B,2019,2009,10,Burned,M,A,NA,26,48,16,58,6,19,No bison,3.310445581
Small mammal,,P.man,2360,MUR,,-22.42,11.9,42.44,Angelica B,2019,C,50,Burned,M,SA,NA,25,44,15,54,6,15,Bison,3.566386555
Small mammal,,P.leu,2362,TCR,5.26,-24.16,13.36,45.95,Angelica B,2019,C,50,Unburned,M,A,NA,27,67,19,47,6,16,No bison,3.439371257
Small mammal,,P.man,2363,SBEX2,3.51,-23.4,13.68,44.47,Danielle D,2016,2009,7,Unburned,M,SA,NA,32,52,18,49,10,7,No bison,3.250730994
Small mammal,,P.man,2365,CCEE,3.91,-19.86,12.44,45.61,Angelica B,2019,2007,12,Burned,F,A,PL,30,55,16,54,6,19,No bison,3.666398714
Small mammal,,P.man,2367,CCWE,5.07,-22.96,13.25,45.67,Angelica B,2019,2008,11,Unburned,F,A,PL,23,52,16,47,6,19,No bison,3.446792453
Small mammal,,P.man,2368,CCW,5.29,-23.28,13.48,45.07,Angelica B,2019,2008,11,Unburned,F,A,L,31,51,15,54,6,21,No bison,3.34347181
Small mammal,,P.man,2372,CCWE,5.48,-24.22,12.97,46.48,Angelica B,2019,2008,11,Unburned,F,A,NA,27,51,16,62,6,18,No bison,3.583654588
Small mammal,,P.man,2374,SF,6.34,-24.14,13.11,45.81,Angelica B,2019,2001,18,Burned,M,A,NA,28,61,16,53,6,13,No bison,3.494279176
Small mammal,,P.man,2375,HPN,4.24,-24.94,13.99,47.18,Sarah N,2019,2012,7,Unburned,F,A,NA,26,46.5,16,48,8,12,Bison,3.372408863
Small mammal,,P.man,2377,CCWE,6.04,-23.02,13.43,45.97,Angelica B,2019,2008,11,Unburned,M,SA,NA,23,49,15.5,47,6,20,No bison,3.42293373
Small mammal,,P.man,2378,CCW,4.75,-23.66,12.51,45.15,Angelica B,2019,2008,11,Unburned,F,A,PL,31,50.5,15,55,6,21,No bison,3.60911271
Small mammal,,P.leu,2380,WH,4.19,-22.93,12.76,43.75,Angelica B,2019,1992,27,Burned,F,A,NA,27,65,18,50,6,17,Bison,3.428683386
Small mammal,,P.man,2382,SB,3.97,-18.77,13.84,43.82,Danielle D,2016,2009,7,Burned,M,SA,NA,30,51,15.5,50,10,7,No bison,3.166184971
Small mammal,,P.man,2389,HPN,5.55,-24.73,13.71,46.12,Angelica B,2019,2012,7,Unburned,M,A,NA,24,47,15,49,6,12,Bison,3.363967907
Small mammal,,R.meg,2390,FC,6.26,-23.95,13.46,45.45,Sarah N,2019,2006.5,12.5,Unburned,F,A,L,18,63,14,40,8,16,No bison,3.333333333
Small mammal,,R.meg,2390,FC,7.22,-20.9,13.5,45,Sarah N,2019,2006.5,12.5,Unburned,F,A,L,18,63,14,40,8,16,No bison,3.37667162
Small mammal,,P.man,2393,FC,0.45,-11.73,12.64,44.34,Angelica B,2019,2006.5,12.5,Unburned,M,SA,NA,20.5,61,18,49,6,17,No bison,3.507911392
Small mammal,,P.man,2396,SB,7.54,-18.69,13.68,45.4,Angelica B,2019,2009,10,Burned,F,A,L,26,50,15,60,6,20,No bison,3.31871345
Small mammal,,P.leu,2397,L,5.43,-21.18,13.4,44.86,Danielle D,2017,2011,6,Burned,M,A,NA,35,67,19,56,4,10,Bison,3.347761194
Small mammal,,P.man,2402,CCW,4.18,-19.85,13.33,45.23,Angelica B,2019,2008,11,Unburned,M,A,NA,29,54,15,53,6,21,No bison,3.393098275
Small mammal,,P.man,2405,CCW,5.78,-20.28,13.55,45.38,Angelica B,2019,2008,11,Unburned,F,A,PL,32,50,14,52,6,21,No bison,3.349077491
Small mammal,Mouse,Z.hud,2406,WH,0.95,-20.5,13.52,49.01,Kirstie,2016,1992,24,Unburned,F,J,NA,30,101,29,55,9,29,Bison,3.625
Small mammal,,P.man,2412,SBEX2,4.35,-18.8,12.17,45.48,Angelica B,2019,2009,10,Burned,M,A,NA,26,51,17,64,6,18,No bison,3.73705834
Small mammal,,P.man,2417,CCEE,5.47,-22.81,13.39,45.84,Angelica B,2019,2007,12,Burned,M,A,NA,27,46,15.5,50,6,21,No bison,3.423450336
Small mammal,,P.man,2419,TCE,5.28,-13.96,12.92,44.7,Angelica B,2019,2002.5,16.5,Unburned,M,A,NA,30,46,15,51.5,6,16,No bison,3.459752322
Small mammal,,P.man,2425,SBEX1,6.17,-17.68,13.49,46.01,Angelica B,2019,2009,10,Burned,M,SA,NA,20,39,16,49,6,19,No bison,3.410674574
Small mammal,,P.man,2426,TC,6.85,-19.73,12.99,43.42,Sarah N,2019,2002.5,16.5,Unburned,F,A,P,30.5,54,16,48,8,17,No bison,3.342571209
Small mammal,,P.man,2428,CCE,7.6,-21.58,13.54,44.75,Sarah N,2019,2007,12,Burned,M,A,NA,29,54,16.5,56,6,21,No bison,3.305022157
