Type,Species,Tag,Year,Location,Burn,Bison,d15N,d13C
Small mammal,P.leu,2973,2018,HPW,Burned,Bison,4.49,-23.46
Small mammal,P.leu,2974,2018,TCEX,Unburned,No bison,6.71,-20.28
Small mammal,P.man,2975,2019,HF,Unburned,Bison,5.18,-23.71
Small mammal,P.leu,2979,2018,CCE,Unburned,No bison,3.4,-18.34
Small mammal,P.leu,2982,2018,TCEX,Unburned,No bison,7.37,-10.29
Small mammal,P.man,2987,2018,TC,Burned,No bison,9.18,-10.52
Small mammal,P.man,2987,2018,TC,Burned,No bison,7.15,-13.77
Small mammal,P.man,2988,2019,HPN,Unburned,Bison,5.82,-24.64
Small mammal,P.man,2992,2019,HPN,Unburned,Bison,4.62,-24.27
Small mammal,P.man,2994,2018,TC,Burned,No bison,7.9,-11.89
Small mammal,P.man,2996,2019,L,Burned,Bison,4.31,-25.26
Small mammal,P.man,3002,2019,L,Burned,Bison,5.83,-13.14
Small mammal,P.man,3004,2019,L,Burned,Bison,8.53,-12.68
Small mammal,M.och,3007,2018,CCEEX,Unburned,No bison,3.43,-27.23
Small mammal,P.man,3010,2019,L,Burned,Bison,6.6,-14.16
Small mammal,P.man,3012,2018,TC,Burned,No bison,7.83,-17.9
Small mammal,P.man,3020,2018,TCEX,Unburned,No bison,7.1,-12.91
Small mammal,P.man,3021,2018,HF,Burned,Bison,4.72,-23.98
Small mammal,M.och,3022,2018,TCR,Burned,No bison,4.26,-25.24
Small mammal,P.man,3025,2018,CCW,Burned,No bison,8.25,-12.54
Small mammal,P.man,3028,2018,HF,Burned,Bison,5.64,-22.55
Small mammal,P.man,3028,2018,HF,Burned,Bison,6.43,-14.54
Small mammal,M.och,3031,2018,SF,Unburned,No bison,3.5,-26
Small mammal,P.man,3032,2018,MUR,Burned,Bison,5.05,-22.02
Small mammal,P.man,3032,2018,MUR,Burned,Bison,2.27,-22.82
Small mammal,P.man,3033,2019,WH,Burned,Bison,2.46,-24.2
Small mammal,P.man,3034,2018,CCW,Burned,No bison,2.91,-23.64
Small mammal,M.och,3036,2018,TC,Burned,No bison,5.56,-25.12
Small mammal,P.man,3038,2018,MU,Burned,Bison,2.92,-22.31
Small mammal,P.man,3039,2018,CCW,Burned,No bison,3.32,-24.71
Small mammal,P.man,3041,2018,HF,Burned,Bison,5.7,-24.47
Small mammal,P.man,3042,2019,SB,Burned,No bison,4.16,-20.31
Small mammal,M.mus,3043,2018,SB,Unburned,No bison,13.82,-10.66
Small mammal,P.man,3044,2018,TC,Burned,No bison,6.51,-23.24
Small mammal,P.leu,3047,2018,SBEX1,Unburned,No bison,4.47,-21.43
Small mammal,P.leu,3047,2018,SBEX1,Unburned,No bison,7.67,-22.76
Small mammal,P.man,3049,2018,SBEX1,Unburned,No bison,6.03,-22.94
Small mammal,M.och,3053,2018,TC,Burned,No bison,4.25,-26.43
Small mammal,P.man,3054,2018,TCR,Burned,No bison,6.09,-19.5
Small mammal,P.leu,3055,2018,MU,Burned,Bison,2.21,-24.93
Small mammal,P.man,3057,2019,TCE,Unburned,No bison,3.96,-12.91
Small mammal,P.leu,3061,2018,CCWEX,Unburned,No bison,6.49,-22.87
Small mammal,P.leu,3062,2018,HPW,Burned,Bison,4.11,-24.32
Small mammal,P.leu,3062,2018,HPW,Burned,Bison,3.95,-24.81
Small mammal,P.leu,3063,2019,WH,Burned,Bison,1.96,-21.74
Small mammal,P.leu,3065,2018,HL,Burned,Bison,5.29,-22.26
Small mammal,P.man,3066,2019,SBEE,Unburned,No bison,6.24,-12.56
Small mammal,P.leu,3067,2018,WH,Unburned,Bison,4.74,-22.37
Small mammal,P.man,3068,2018,HF,Burned,Bison,4.56,-24.31
Small mammal,M.och,3069,2018,WH,Unburned,Bison,2.47,-22.36
Small mammal,P.man,3072,2018,TCR,Burned,No bison,5.68,-17.68
Small mammal,P.man,3073,2018,CCWEX,Unburned,No bison,2.79,-25.35
Small mammal,Z.hud,3081,2018,WH,Unburned,Bison,0.54,-18.03
Small mammal,P.leu,3083,2018,HL,Burned,Bison,5.66,-23.55
Small mammal,P.man,3084,2018,HF,Burned,Bison,6.27,-24.11
Small mammal,P.man,3084,2018,HF,Burned,Bison,4.09,-24.71
Small mammal,M.och,3085,2018,CCE,Unburned,No bison,4.58,-24.77
Small mammal,P.man,3086,2018,TC,Burned,No bison,7.13,-14.32
Small mammal,P.leu,3087,2018,HPW,Burned,Bison,3.61,-25.24
Small mammal,P.man,3088,2018,SBEX2,Unburned,No bison,8.36,-11.52
Small mammal,P.man,3089,2018,TCEX,Unburned,No bison,5.53,-24.97
Small mammal,P.man,3089,2018,TCEX,Unburned,No bison,4.67,-24.68
Small mammal,P.man,3091,2019,CCWEX,Unburned,No bison,2.61,-13.68
Small mammal,P.leu,3092,2018,CCWEX,Unburned,No bison,6.86,-21.94
Small mammal,P.leu,3093,2018,HL,Burned,Bison,5.51,-19.77
Small mammal,P.man,3098,2018,CCW,Burned,No bison,5.84,-21.39
Small mammal,P.man,3098,2018,CCW,Burned,No bison,3.54,-22.92
Small mammal,P.man,3099,2018,CCW,Burned,No bison,3.38,-23.95
Small mammal,M.och,3105,2018,TC,Burned,No bison,3.97,-26.02
Small mammal,M.och,3105,2018,TC,Burned,No bison,4.19,-24.9
Small mammal,P.leu,3113,2018,FC,Burned,No bison,5.3,-19.79
Small mammal,P.leu,3114,2018,WH,Unburned,Bison,3.43,-24.95
Small mammal,M.och,3115,2019,FC,Unburned,No bison,3.42,-27.73
Small mammal,P.leu,3116,2018,HL,Burned,Bison,6.12,-10.76
Small mammal,P.man,3121,2018,L,Unburned,Bison,9.53,-9.66
Small mammal,P.man,3122,2018,CCE,Unburned,No bison,3.6,-24.47
Small mammal,P.man,3122,2018,CCE,Unburned,No bison,2.62,-24.58
Small mammal,P.man,3123,2018,FC,Burned,No bison,6.93,-19.43
Small mammal,P.leu,3128,2018,CCWEX,Unburned,No bison,7.69,-24.02
Small mammal,P.man,3130,2018,TCR,Burned,No bison,4.15,-22.36
Small mammal,P.man,3131,2018,MUR,Burned,Bison,5.57,-18.53
Small mammal,P.man,3133,2018,MUR,Burned,Bison,4.2,-20.99
Small mammal,P.leu,3134,2018,HPW,Burned,Bison,6.4,-22.89
Small mammal,P.leu,3135,2018,SBEX1,Unburned,No bison,5.43,-15.91
Small mammal,P.man,3136,2018,CCWEX,Unburned,No bison,5.33,-21.72
Small mammal,P.man,3136,2018,CCWEX,Unburned,No bison,4.19,-22.74
Small mammal,P.man,3137,2018,CCWEX,Unburned,No bison,6.67,-19.76
Small mammal,P.leu,3138,2018,HL,Burned,Bison,4.61,-23.94
Small mammal,P.man,3140,2018,FC,Burned,No bison,6.28,-19.74
Small mammal,P.man,3141,2018,CCW,Burned,No bison,3.15,-24.4
Small mammal,Z.hud,3142,2018,WH,Unburned,Bison,2.8,-20.79
Small mammal,P.leu,3143,2018,HL,Burned,Bison,3.05,-24.19
Small mammal,P.man,3145,2018,CCW,Burned,No bison,5.38,-20.78
Small mammal,P.leu,3146,2018,WH,Unburned,Bison,4.56,-23.96
Small mammal,P.man,3147,2018,MUR,Burned,Bison,6.12,-21.05
Small mammal,P.leu,3148,2018,WH,Unburned,Bison,3.38,-24.03
Small mammal,M.och,3149,2018,TC,Burned,No bison,5.2,-24.75
Small mammal,P.leu,3150,2018,TCEX,Unburned,No bison,8.75,-22.13
Small mammal,P.man,3154,2018,HL,Burned,Bison,5.65,-22.37
Small mammal,P.man,3154,2018,HL,Burned,Bison,3.61,-19.65
Small mammal,P.man,3155,2018,TC,Burned,No bison,6.18,-20.83
Small mammal,P.man,3156,2018,MU,Burned,Bison,3.93,-23.2
Small mammal,P.man,3157,2018,MUR,Burned,Bison,5.39,-18.29
Small mammal,P.man,3158,2018,TC,Burned,No bison,6.46,-24.11
Small mammal,M.och,3159,2018,HL,Burned,Bison,2.47,-25.71
Small mammal,P.leu,3161,2018,HL,Burned,Bison,3.56,-22.63
Small mammal,P.leu,3162,2018,HPW,Burned,Bison,3.6,-22.43
Small mammal,P.man,3165,2018,MUR,Burned,Bison,4.34,-20.32
Small mammal,P.man,3165,2018,MUR,Burned,Bison,3.33,-22.2
Small mammal,Z.hud,3166,2018,WH,Unburned,Bison,2.21,-17.51
Small mammal,P.leu,3167,2018,TCEX,Unburned,No bison,4.8,-21.41
Small mammal,P.man,3168,2018,TCR,Burned,No bison,7.43,-15.48
Small mammal,P.man,3168,2018,TCR,Burned,No bison,6.74,-19.51
Small mammal,P.man,3171,2018,MUR,Burned,Bison,7.56,-25.66
Small mammal,P.man,3172,2018,WH,Unburned,Bison,4.91,-23.89
Small mammal,P.man,3172,2018,WH,Unburned,Bison,4.84,-24.09
Small mammal,P.man,3173,2018,SB,Unburned,No bison,5.13,-19.36
Small mammal,M.mus,3174,2018,HL,Burned,Bison,14.51,-11.2
Small mammal,Z.hud,3175,2018,WH,Unburned,Bison,3.34,-24.87
Small mammal,P.man,3176,2018,CCEEX,Unburned,No bison,3.31,-25.04
Small mammal,P.man,3179,2018,TC,Burned,No bison,8.13,-12.8
Small mammal,P.man,3183,2018,CCWEX,Unburned,No bison,5.41,-20.88
Small mammal,P.leu,3184,2018,TCEX,Unburned,No bison,6.01,-21.04
Small mammal,P.leu,3185,2018,MUR,Burned,Bison,5.09,-20.93
Small mammal,P.leu,3187,2018,HL,Burned,Bison,2.56,-23.15
Small mammal,P.man,3188,2018,MUR,Burned,Bison,5.69,-18.56
Small mammal,P.leu,3190,2018,WH,Unburned,Bison,3.87,-24.29
Small mammal,P.man,3191,2018,CCW,Burned,No bison,3.67,-24.04
Small mammal,P.man,3192,2018,TCEX,Unburned,No bison,7.01,-16.3
Small mammal,P.man,3193,2018,CCWEX,Unburned,No bison,3.13,-23.37
Small mammal,M.och,3195,2018,L,Unburned,Bison,3.15,-27.24
Small mammal,M.och,3196,2018,TCR,Burned,No bison,3.4,-26.17
Small mammal,P.man,3198,2018,FC,Burned,No bison,5.36,-19.94
Small mammal,P.leu,3199,2018,WH,Unburned,Bison,3.86,-22.98
Small mammal,P.man,3201,2018,CCEEX,Unburned,No bison,5.27,-17.19
Small mammal,P.leu,3204,2018,HPN,Unburned,Bison,4.61,-21.97
Small mammal,M.och,3205,2018,TCR,Burned,No bison,3.33,-27.23
Small mammal,P.leu,3206,2018,MU,Burned,Bison,2.3,-24.4
Small mammal,P.leu,3208,2018,MU,Burned,Bison,5.83,-19.81
Small mammal,P.leu,3209,2018,SF,Unburned,No bison,5.97,-22.67
Small mammal,P.leu,3210,2018,WH,Unburned,Bison,3.83,-23.32
Small mammal,P.leu,3211,2018,HL,Burned,Bison,4.55,-22.99
Small mammal,P.man,3215,2018,CCE,Unburned,No bison,5.65,-17.36
